tok	changepoint_idx	start_idx	end_idx	value
/hypocretin	2011-2012	2010-2011	2011-2012	7.118665678844849
/hypocretin	2012-2013	2011-2012	2012-2013	-5.97426073431609
/hypocretin	2013-2014	2012-2013	2013-2014	10.118658797203652
/hypocretin	2014-2015	2013-2014	2014-2015	-11.475328231352492
/hypocretin	2019-2020	2018-2019	2019-2020	6.119922262517005
/jun	2015-2016	2013-2014	2015-2016	6.720310057175657
/jun	2016-2017	2015-2016	2016-2017	-6.753480349320717
/mechanistic	2016-2017	2015-2016	2016-2017	7.49153529585209
/mechanistic	2017-2018	2016-2017	2017-2018	-8.596549146328016
/mitochondrial	2016-2017	2015-2016	2016-2017	5.771804228039361
/mitochondrial	2017-2018	2016-2017	2017-2018	-5.944846876117723
/mixed	2015-2016	2014-2015	2015-2016	9.387988715167202
/mixed	2016-2017	2015-2016	2016-2017	-9.640466969840277
/qtc	2018-2019	2017-2018	2018-2019	-7.146579029884563
/re	2013-2014	2012-2013	2013-2014	7.150520289812185
/re	2014-2015	2013-2014	2014-2015	-6.534858824511055
/severe	2008-2009	2007-2008	2008-2009	6.777711038792683
/severe	2009-2010	2008-2009	2009-2010	-6.769076451870423
/t/	2013-2014	2012-2013	2013-2014	6.389550790249757
/t/	2014-2015	2013-2014	2014-2015	-6.210827094071819
/text	2019-2020	2018-2019	2019-2020	9.08159518681299
0,81	2019-2020	2018-2019	2019-2020	6.399869984285796
0/100	2015-2016	2014-2015	2015-2016	5.859029929503684
0/100	2016-2017	2015-2016	2016-2017	-6.595016664906257
0009	2019-2020	2018-2019	2019-2020	10.515981336376027
001\)\-oriented	2015-2016	2014-2015	2015-2016	5.865583968629804
001\)\-oriented	2016-2017	2015-2016	2016-2017	-5.837918053721016
0026	2013-2014	2012-2013	2013-2014	10.764743458650782
0026	2014-2015	2013-2014	2015-2016	-11.23361825909565
0033	2015-2016	2014-2015	2015-2016	-5.857741808329116
0070	2014-2015	2013-2014	2015-2016	-8.017965652452588
0079	2014-2015	2013-2014	2014-2015	-6.086388461257707
008	2007-2008	2006-2007	2007-2008	9.461324941563927
008	2008-2009	2007-2008	2008-2009	-12.270978965710217
009	2009-2010	2008-2009	2009-2010	-31.879759055101758
01/01/2015	2019-2020	2018-2019	2019-2020	8.472853732551954
010	2008-2009	2007-2008	2008-2009	-6.071198221570189
014	2013-2014	2011-2012	2013-2014	393.7909965599796
014	2014-2015	2013-2014	2014-2015	-394.5761670294967
016	2009-2010	2008-2009	2009-2010	5.950897459391504
016	2010-2011	2009-2010	2010-2011	-5.787757024838201
016	2015-2016	2013-2014	2015-2016	336.46245314355394
016	2016-2017	2015-2016	2016-2017	-337.6810718625341
020	2019-2020	2017-2018	2019-2020	134.20131428880708
02428	2017-2018	2016-2017	2017-2018	-6.636184030848451
02:01	2011-2012	2010-2011	2011-2012	-11.105689155369877
0558	2014-2015	2013-2014	2014-2015	6.108847152517287
0558	2015-2016	2014-2015	2015-2016	-6.565294093506118
0574	2016-2017	2015-2016	2016-2017	8.670906518668456
0574	2017-2018	2016-2017	2018-2019	-8.558294767096273
05:01	2012-2013	2011-2012	2012-2013	6.065282863725985
05:01	2013-2014	2012-2013	2013-2014	-6.520484946279328
06:02	2013-2014	2011-2012	2013-2014	-6.451375863033952
0708	2014-2015	2013-2014	2014-2015	5.501284292360886
073	2016-2017	2014-2015	2016-2017	7.330349288121025
073	2017-2018	2016-2017	2017-2018	-6.681453300194709
0731	2015-2016	2014-2015	2015-2016	-6.379367408420634
0914	2019-2020	2018-2019	2019-2020	10.89219692873024
0\-iia	2016-2017	2014-2015	2016-2017	6.738071213152866
0\-iia	2017-2018	2016-2017	2017-2018	-6.413325689270282
0\.0	2002-2003	2001-2002	2002-2003	5.640078616844821
0\.00	2002-2003	2001-2002	2002-2003	9.618903347004021
0\.00	2003-2004	2002-2003	2004-2005	-9.953221703474208
0\.0087	2009-2010	2008-2009	2009-2010	5.745470229468757
0\.0087	2010-2011	2009-2010	2010-2011	-5.558818214120266
0\.0130	2015-2016	2014-2015	2015-2016	5.944538514437102
0\.0130	2016-2017	2015-2016	2016-2017	-6.017068716338006
0\.0136	2017-2018	2016-2017	2017-2018	8.304293231826978
0\.0136	2018-2019	2017-2018	2018-2019	-7.548640661589598
0\.014	2001-2002	2000-2001	2001-2002	-6.407720764677715
0\.0146	2018-2019	2017-2018	2018-2019	9.770267488448239
0\.0146	2019-2020	2018-2019	2019-2020	-8.826228779967845
0\.0191	2014-2015	2013-2014	2014-2015	7.499791064875733
0\.0191	2015-2016	2014-2015	2015-2016	-7.463882018548587
0\.0234	2017-2018	2016-2017	2017-2018	7.228743104786688
0\.0234	2018-2019	2017-2018	2018-2019	-7.0223036094892075
0\.0235	2016-2017	2015-2016	2016-2017	7.833521006013291
0\.0235	2017-2018	2016-2017	2017-2018	-6.652859872214874
0\.075	2007-2008	2006-2007	2007-2008	5.665339621862444
0\.10	2001-2002	2000-2001	2001-2002	-6.370199800648793
0\.162	2010-2011	2009-2010	2010-2011	7.016018627078494
0\.162	2011-2012	2010-2011	2012-2013	-6.726604701457717
0\.21	2001-2002	2000-2001	2001-2002	-7.491704054437467
0\.214	2012-2013	2011-2012	2012-2013	6.9745249640277285
0\.214	2013-2014	2012-2013	2013-2014	-7.609303304038919
0\.233	2011-2012	2010-2011	2011-2012	6.939210947847855
0\.233	2012-2013	2011-2012	2012-2013	-6.0187981992748645
0\.30	2001-2002	2000-2001	2001-2002	-10.355658059172434
0\.311	2012-2013	2011-2012	2012-2013	8.350434876508908
0\.311	2013-2014	2012-2013	2013-2014	-8.63750984797814
0\.331	2011-2012	2010-2011	2011-2012	7.509260450027946
0\.331	2012-2013	2011-2012	2012-2013	-7.72654927570259
0\.38	2001-2002	2000-2001	2001-2002	-7.481773716604296
0\.403	2011-2012	2010-2011	2011-2012	5.6133365441142775
0\.445	2010-2011	2009-2010	2010-2011	5.856414944683345
0\.473	2011-2012	2010-2011	2011-2012	7.544867888466249
0\.473	2012-2013	2011-2012	2012-2013	-7.093273607585234
0\.50	2001-2002	2000-2001	2001-2002	6.11006217480679
0\.521	2010-2011	2009-2010	2010-2011	6.33916846084948
0\.521	2011-2012	2010-2011	2011-2012	-5.609927693878902
0\.653	2011-2012	2010-2011	2011-2012	5.736937506219644
0\.670	2010-2011	2009-2010	2010-2011	-6.700704889421808
0\.675	2010-2011	2009-2010	2010-2011	11.020468096895646
0\.675	2011-2012	2010-2011	2011-2012	-10.844003069577326
0\.678	2012-2013	2011-2012	2012-2013	8.225889772411731
0\.678	2013-2014	2012-2013	2013-2014	-6.849975512995819
0\.719	2010-2011	2009-2010	2010-2011	6.056510140572818
0\.719	2011-2012	2010-2011	2011-2012	-5.672492820179034
0\.729	2011-2012	2010-2011	2011-2012	7.072700329644759
0\.729	2013-2014	2011-2012	2013-2014	-6.094110125386118
0\.749	2009-2010	2008-2009	2009-2010	5.619369745265046
0\.762	2011-2012	2010-2011	2011-2012	11.270926594541528
0\.762	2012-2013	2011-2012	2012-2013	-10.277752098835826
0\.802	2014-2015	2013-2014	2014-2015	7.85114342640552
0\.802	2015-2016	2014-2015	2015-2016	-7.121857925872657
0\.830	2010-2011	2009-2010	2010-2011	7.124780798700737
0\.830	2011-2012	2010-2011	2011-2012	-6.683691221039988
0\.873	2010-2011	2008-2009	2010-2011	7.067006958585392
0\.873	2011-2012	2010-2011	2011-2012	-6.47036563249968
0\.88	2004-2005	2002-2003	2004-2005	6.0495472739112355
0\.88	2005-2006	2004-2005	2005-2006	-6.251625229719309
0\.891	2010-2011	2008-2009	2010-2011	6.880283365417663
0\.891	2011-2012	2010-2011	2011-2012	-7.020501194821055
0\.911	2010-2011	2009-2010	2010-2011	7.01247662856721
0\.911	2011-2012	2010-2011	2011-2012	-6.8289395627919145
0\.98	2003-2004	2002-2003	2003-2004	5.767560587859943
0\.9986	2019-2020	2018-2019	2019-2020	6.261703902974853
1,0	2017-2018	2016-2017	2017-2018	-5.65580499771862
1,016	2011-2012	2009-2010	2011-2012	6.795595909972363
1,016	2012-2013	2011-2012	2013-2014	-6.862631685318234
1,044	2013-2014	2012-2013	2013-2014	10.951115785000978
1,044	2014-2015	2013-2014	2014-2015	-11.42744164658236
1,056	2014-2015	2013-2014	2014-2015	10.501358834119477
1,056	2015-2016	2014-2015	2015-2016	-9.965165581622001
1,062	2017-2018	2015-2016	2017-2018	8.85886549043945
1,062	2018-2019	2017-2018	2019-2020	-8.675649268941015
1,110	2014-2015	2013-2014	2014-2015	8.601269202441355
1,110	2015-2016	2014-2015	2015-2016	-8.09716017771972
1,133	2017-2018	2016-2017	2017-2018	6.542464533567434
1,133	2018-2019	2017-2018	2018-2019	-5.859764165401096
1,134	2014-2015	2013-2014	2014-2015	7.332857401244508
1,134	2015-2016	2014-2015	2015-2016	-7.201571571402378
1,137	2012-2013	2011-2012	2012-2013	6.060033150734991
1,137	2013-2014	2012-2013	2013-2014	-6.252118149699443
1,139	2014-2015	2013-2014	2014-2015	7.813117884022859
1,139	2015-2016	2014-2015	2015-2016	-7.5866613672703265
1,139	2019-2020	2018-2019	2019-2020	6.438487528583424
1,157	2015-2016	2014-2015	2015-2016	6.134511758767833
1,157	2016-2017	2015-2016	2016-2017	-5.753140695030698
1,178	2014-2015	2013-2014	2014-2015	10.856264764717032
1,178	2015-2016	2014-2015	2015-2016	-10.486461712327872
1,2,3\-triazoles	2016-2017	2015-2016	2016-2017	-5.52207572107564
1,209	2019-2020	2018-2019	2019-2020	6.040289029291409
1,257	2012-2013	2011-2012	2012-2013	6.333002067235329
1,257	2013-2014	2012-2013	2013-2014	-6.113555419083337
1,306	2012-2013	2011-2012	2012-2013	7.893815461107634
1,306	2013-2014	2012-2013	2013-2014	-7.908874179499148
1,339	2012-2013	2011-2012	2012-2013	5.513928667027361
1,344	2016-2017	2015-2016	2016-2017	6.054289603841221
1,344	2017-2018	2016-2017	2017-2018	-5.552007294065534
1,401	2012-2013	2011-2012	2012-2013	5.711590177191152
1,401	2013-2014	2012-2013	2013-2014	-5.565200320792903
1,4\-dihydropyridines	2011-2012	2010-2011	2011-2012	7.43059605277992
1,4\-dihydropyridines	2012-2013	2011-2012	2012-2013	-7.507397473805302
1,508	2015-2016	2014-2015	2015-2016	5.70702374559421
1,574	2018-2019	2017-2018	2018-2019	-6.04137166527535
1,6	2010-2011	2009-2010	2010-2011	8.403881815407374
1,6	2011-2012	2010-2011	2011-2012	-8.614256725615475
1,704	2019-2020	2018-2019	2019-2020	8.430869826369022
1,8	2012-2013	2011-2012	2012-2013	5.5773052402014045
1,8	2013-2014	2012-2013	2013-2014	-5.835602567382379
1,844	2014-2015	2013-2014	2014-2015	-5.545051068282855
10,464	2019-2020	2018-2019	2019-2020	5.94820342085532
10,575	2017-2018	2016-2017	2017-2018	6.10913439735554
10,575	2018-2019	2017-2018	2018-2019	-6.578509650761642
10/2016	2018-2019	2017-2018	2018-2019	-9.121130864054503
100\-hz	2013-2014	2012-2013	2013-2014	5.626077731112755
100cr6	2019-2020	2018-2019	2019-2020	6.415909008323705
100ng	2014-2015	2013-2014	2014-2015	6.1240355209612884
100ng	2015-2016	2014-2015	2015-2016	-5.594624007731121
104\-week	2015-2016	2014-2015	2015-2016	5.757269749413384
104\-week	2016-2017	2015-2016	2016-2017	-5.736723426367766
106b	2017-2018	2016-2017	2017-2018	-12.043235307507382
109\.6	2013-2014	2012-2013	2013-2014	8.302138460601906
109\.6	2014-2015	2013-2014	2014-2015	-8.536552795785635
10:30	2015-2016	2014-2015	2015-2016	5.59612945662445
10\-bp	2013-2014	2012-2013	2013-2014	7.483110739268648
10\-bp	2014-2015	2013-2014	2015-2016	-7.664997871485518
10\-color	2018-2019	2015-2016	2018-2019	6.706244462018967
10\-color	2019-2020	2018-2019	2019-2020	-6.593775854369247
10\-day	2005-2006	2004-2005	2005-2006	7.59829294610431
10\-day	2006-2007	2005-2006	2006-2007	-8.399480581959754
10\-gene	2016-2017	2015-2016	2016-2017	9.31972133712704
10\-gene	2017-2018	2016-2017	2017-2018	-8.952714606278708
10\-unit	2014-2015	2012-2013	2014-2015	13.84463070751869
10\-unit	2015-2016	2014-2015	2015-2016	-13.683809146309732
10\.1007	2008-2009	2007-2008	2008-2009	8.134139070489525
10\.1007	2009-2010	2008-2009	2009-2010	-7.9052690714740965
10\.1007	2016-2017	2015-2016	2017-2018	9.961188575496038
10\.1007	2018-2019	2017-2018	2018-2019	-10.757436215905624
10\.1186	2014-2015	2013-2014	2014-2015	7.7554070581963614
10\.1186	2015-2016	2014-2015	2015-2016	-6.0384076997061165
10\.1186	2016-2017	2015-2016	2016-2017	345.99159822310725
10\.1186	2017-2018	2016-2017	2018-2019	-347.97184665862994
10\.17605	2019-2020	2016-2017	2019-2020	18.788917741554506
10\.6084	2018-2019	2017-2018	2018-2019	40.628116770103624
10\.6084	2019-2020	2018-2019	2019-2020	-38.783050785561954
10\.71	2009-2010	2008-2009	2009-2010	6.31386753839219
10\.71	2010-2011	2009-2010	2010-2011	-5.689983253274132
10\.95	2009-2010	2008-2009	2009-2010	7.156949730846445
10\.95	2010-2011	2009-2010	2010-2011	-6.112902280080269
10e8	2013-2014	2012-2013	2013-2014	17.31433169998435
10e8	2014-2015	2013-2014	2014-2015	-17.006534295418717
10f	2010-2011	2009-2010	2010-2011	7.433365394571431
10f	2011-2012	2010-2011	2011-2012	-7.749684937214703
10mwt	2013-2014	2012-2013	2013-2014	8.038236107147428
10mwt	2014-2015	2013-2014	2015-2016	-7.714596510022612
10th	2001-2002	2000-2001	2001-2002	7.839360980873752
10th	2002-2003	2001-2002	2002-2003	-6.909854583051165
10y	2017-2018	2016-2017	2017-2018	15.20429647208352
10y	2018-2019	2017-2018	2018-2019	-15.040198000103606
11,5	2017-2018	2016-2017	2017-2018	6.88157252182049
11,5	2018-2019	2017-2018	2018-2019	-6.879553177570994
11/37	2016-2017	2015-2016	2016-2017	6.05477941325185
11/37	2017-2018	2016-2017	2017-2018	-5.627300886774778
11000	2013-2014	2012-2013	2013-2014	-6.0945919219310625
11000	2017-2018	2016-2017	2017-2018	6.022202173352392
11000	2018-2019	2017-2018	2018-2019	-5.639916507583458
111\.2	2014-2015	2013-2014	2014-2015	5.851452744786991
111\.2	2015-2016	2014-2015	2015-2016	-5.696824993682419
114\.8	2014-2015	2013-2014	2014-2015	6.265083093568765
114\.8	2015-2016	2014-2015	2015-2016	-5.57845258273477
115\.6	2018-2019	2017-2018	2018-2019	5.911923945389486
116\.1	2018-2019	2017-2018	2018-2019	6.333595191872722
11801	2019-2020	2018-2019	2019-2020	10.771528593014663
118\.3	2014-2015	2013-2014	2014-2015	7.7764109781534625
118\.3	2015-2016	2014-2015	2015-2016	-7.025881755605523
118\.5	2014-2015	2013-2014	2014-2015	6.861292886562325
118\.5	2015-2016	2014-2015	2015-2016	-7.471574091158936
11\-mer	2011-2012	2010-2011	2011-2012	8.02240142982766
11\-mer	2012-2013	2011-2012	2012-2013	-7.936635986705432
11\.20	2010-2011	2008-2009	2010-2011	6.251718583376013
11\.20	2011-2012	2010-2011	2011-2012	-6.716727979144009
11\.3	2001-2002	2000-2001	2001-2002	-6.072564077313719
11\.46	2010-2011	2009-2010	2010-2011	6.451659944054066
11\.46	2011-2012	2010-2011	2011-2012	-6.954765799930524
11c\]co2	2019-2020	2018-2019	2019-2020	15.085300790268175
11c\]pbr28	2014-2015	2013-2014	2014-2015	23.011166909568207
11c\]pbr28	2015-2016	2014-2015	2015-2016	-23.53279256432732
11c\]pbr28	2016-2017	2015-2016	2016-2017	8.218566454043392
11c\]pbr28	2017-2018	2016-2017	2017-2018	-7.916053487810989
12/12	2009-2010	2008-2009	2009-2010	6.178504279585043
12/2011	2013-2014	2012-2013	2013-2014	-6.660552193594389
12/2013	2015-2016	2014-2015	2015-2016	-7.653747312590831
12/31/2017	2019-2020	2018-2019	2019-2020	-8.484180833295566
123\.1	2016-2017	2015-2016	2016-2017	6.015238141183254
123\.1	2017-2018	2016-2017	2017-2018	-6.782092972344261
129sv	2017-2018	2016-2017	2017-2018	5.867338441637518
12:1	2014-2015	2013-2014	2014-2015	-5.821851952831324
12\.18	2011-2012	2010-2011	2011-2012	5.742386435273503
12\.6	2005-2006	2004-2005	2005-2006	5.747500622199134
12\.88	2013-2014	2012-2013	2013-2014	8.264221596429532
12\.88	2014-2015	2013-2014	2015-2016	-7.78009304645548
13/18	2013-2014	2012-2013	2013-2014	6.094916321324366
13/18	2014-2015	2013-2014	2014-2015	-5.841904649272079
130/0\.4	2011-2012	2010-2011	2011-2012	6.738784909465563
130/0\.4	2012-2013	2011-2012	2012-2013	-6.695799723247216
132\.4	2013-2014	2012-2013	2013-2014	6.3190598567977165
132\.4	2014-2015	2013-2014	2014-2015	-5.938259073325681
13\-years	2018-2019	2017-2018	2018-2019	7.5340616211062414
13\-years	2019-2020	2018-2019	2019-2020	-7.545567598516272
13\.00	2008-2009	2007-2008	2008-2009	5.98048469433337
13\.00	2009-2010	2008-2009	2009-2010	-7.305559530964797
13\.2	2002-2003	2001-2002	2002-2003	6.681376866740403
13\.2	2003-2004	2002-2003	2003-2004	-6.83920678340482
13\.51	2011-2012	2010-2011	2011-2012	6.827107836002609
13\.51	2012-2013	2011-2012	2012-2013	-5.887209106252268
13calpha	2013-2014	2012-2013	2013-2014	8.089867990712065
13calpha	2014-2015	2013-2014	2014-2015	-8.109030174253515
13cbeta	2009-2010	2008-2009	2009-2010	11.694352318573335
13cbeta	2010-2011	2009-2010	2010-2011	-11.771939677088323
13d	2016-2017	2015-2016	2016-2017	6.020464917928997
13d	2017-2018	2016-2017	2017-2018	-5.822214250350443
13q12\.11	2013-2014	2012-2013	2013-2014	5.66645394050498
13q12\.11	2014-2015	2013-2014	2014-2015	-6.363217848014678
14214	2017-2018	2016-2017	2017-2018	9.671383679497943
14214	2018-2019	2017-2018	2019-2020	-8.835882891892298
145	2003-2004	2002-2003	2003-2004	7.127634047461916
145	2004-2005	2003-2004	2005-2006	-7.242939407998911
147\.2	2019-2020	2018-2019	2019-2020	7.512550416841637
14\-day	2007-2008	2006-2007	2007-2008	5.881233498374709
14\-day	2008-2009	2007-2008	2008-2009	-5.69871870813603
14\.27	2014-2015	2013-2014	2014-2015	6.969805599050245
14\.27	2015-2016	2014-2015	2015-2016	-6.066959083004464
14\.4	2002-2003	2001-2002	2002-2003	-5.7406912319097465
14\.52	2011-2012	2010-2011	2011-2012	-6.272582429829253
14\.6	2001-2002	2000-2001	2001-2002	-6.3657152074255485
14\.99	2013-2014	2012-2013	2013-2014	5.754355328492601
14th	2002-2003	2001-2002	2002-2003	-6.762175780513555
1500\-m	2019-2020	2018-2019	2019-2020	10.515148375908836
1538	2009-2010	2008-2009	2009-2010	6.115236265990048
1538	2010-2011	2009-2010	2010-2011	-6.063606433249602
1541	2010-2011	2009-2010	2010-2011	5.529337870400801
157\.5	2017-2018	2016-2017	2017-2018	6.848052797178195
157\.5	2018-2019	2017-2018	2018-2019	-6.833287583545998
1589	2013-2014	2012-2013	2013-2014	5.612591189616996
1595	2013-2014	2012-2013	2013-2014	9.844106848257812
1595	2014-2015	2013-2014	2014-2015	-9.197311696184439
15\.08	2012-2013	2011-2012	2012-2013	7.503619642133744
15\.08	2013-2014	2012-2013	2013-2014	-6.955271888030936
15\.14	2013-2014	2012-2013	2013-2014	5.952121354561632
15\.7	2002-2003	2000-2001	2002-2003	6.420409112811773
15\.7	2003-2004	2002-2003	2003-2004	-6.995791978886883
15\.71	2012-2013	2011-2012	2012-2013	5.972099585831506
15\.71	2013-2014	2012-2013	2013-2014	-5.935105497651655
15\.71	2014-2015	2013-2014	2014-2015	6.417567537824166
15\.71	2015-2016	2014-2015	2015-2016	-6.339435047150094
15\.78	2013-2014	2012-2013	2013-2014	7.567472603926156
15\.78	2014-2015	2013-2014	2014-2015	-6.932001099509485
15n\-1h	2009-2010	2008-2009	2009-2010	-6.238076090510182
15q14	2019-2020	2018-2019	2019-2020	9.39125421004214
15x	2010-2011	2009-2010	2010-2011	8.153885122687955
15x	2011-2012	2010-2011	2011-2012	-8.579553403512808
160,000	2013-2014	2012-2013	2013-2014	5.5374736727500515
162	2001-2002	2000-2001	2001-2002	-7.924283731517868
1686	2011-2012	2010-2011	2011-2012	5.902832686272747
1686	2012-2013	2011-2012	2012-2013	-5.733010901923382
16\-hour	2016-2017	2015-2016	2016-2017	7.111299287099562
16\-hour	2017-2018	2016-2017	2017-2018	-5.773580274046523
16\.53	2015-2016	2013-2014	2015-2016	6.234586669383306
16\.9	2005-2006	2004-2005	2005-2006	-5.915605988274564
16s	2001-2002	2000-2001	2003-2004	-12.173162470386403
171	2003-2004	2002-2003	2003-2004	5.98117177053877
173\.4	2019-2020	2018-2019	2019-2020	5.93279047693443
1771	2012-2013	2011-2012	2012-2013	5.825196013674763
1781	2012-2013	2010-2011	2012-2013	6.32417660643652
1781	2013-2014	2012-2013	2013-2014	-6.846195255001217
1783	2013-2014	2012-2013	2013-2014	7.449274025911718
1783	2014-2015	2013-2014	2015-2016	-7.754817145527664
17\.11	2014-2015	2013-2014	2014-2015	5.825040629628317
17\.29	2015-2016	2014-2015	2015-2016	6.79434884766864
17\.29	2016-2017	2015-2016	2016-2017	-6.334687197465307
17p	2003-2004	2002-2003	2003-2004	8.359148524020881
17p	2004-2005	2003-2004	2004-2005	-7.928809886021279
1800	2002-2003	2001-2002	2002-2003	6.058252021862739
180\-min	2010-2011	2009-2010	2010-2011	-5.558748533317278
182,780	2008-2009	2007-2008	2008-2009	9.197005049180742
182,780	2009-2010	2008-2009	2010-2011	-9.250963430205353
1897	2010-2011	2009-2010	2010-2011	5.8247958040543555
1897	2011-2012	2010-2011	2011-2012	-5.567005856727859
18\-day	2012-2013	2011-2012	2012-2013	7.344439568664531
18\-day	2013-2014	2012-2013	2013-2014	-6.948591550703603
18\-fdg	2011-2012	2010-2011	2011-2012	7.10087455355232
18\-fdg	2012-2013	2011-2012	2013-2014	-7.30584683060644
18\-fdg	2016-2017	2015-2016	2016-2017	5.835098798507773
18\-fdg	2017-2018	2016-2017	2017-2018	-5.766624635273617
18\.1	2004-2005	2003-2004	2004-2005	5.705316224364595
18\.55	2015-2016	2014-2015	2015-2016	6.023836725574476
18\.55	2016-2017	2015-2016	2016-2017	-6.332993914659713
18\.72	2014-2015	2013-2014	2014-2015	7.835325148718111
18\.72	2015-2016	2014-2015	2015-2016	-7.31942169576347
18\.74	2018-2019	2017-2018	2018-2019	5.520610543423109
18\.9	2001-2002	2000-2001	2001-2002	-6.117977176017988
18f\]\-	2010-2011	2009-2010	2010-2011	9.96284852585009
18f\]\-	2011-2012	2010-2011	2011-2012	-9.142247175864984
18f\]\-fdg	2011-2012	2009-2010	2011-2012	23.494807085072107
18f\]\-fdg	2012-2013	2011-2012	2012-2013	-23.81859043429603
18f\]flortaucipir	2018-2019	2017-2018	2018-2019	-8.634307007766179
197	2002-2003	2001-2002	2002-2003	8.876994672920116
197	2003-2004	2002-2003	2003-2004	-8.795995909201142
1970s	2005-2006	2004-2005	2005-2006	6.207023486490121
1970s	2006-2007	2005-2006	2006-2007	-6.658231306338632
1973	2001-2002	2000-2001	2001-2002	9.964217906101142
1973	2002-2003	2001-2002	2002-2003	-9.711755502859829
198	2002-2003	2001-2002	2002-2003	6.9334462733134
198	2003-2004	2002-2003	2003-2004	-6.817611245855456
19\.18	2016-2017	2015-2016	2016-2017	6.042033983772737
19\.19	2014-2015	2013-2014	2014-2015	5.817555067915308
19\.44	2012-2013	2011-2012	2012-2013	-6.008855520339891
19\.44	2013-2014	2012-2013	2013-2014	5.815898134286741
19\.50	2012-2013	2011-2012	2012-2013	-6.131233900269206
1\-butyl\-1\-methylpyrrolidinium	2019-2020	2018-2019	2019-2020	7.977193558087443
1\-deoxynojirimycin	2012-2013	2011-2012	2012-2013	6.0596777298452675
1\-deoxynojirimycin	2013-2014	2012-2013	2014-2015	-6.333127932329907
1\-dimensional	2008-2009	2007-2008	2008-2009	5.672117965616218
1\-ethyl\-3\-methylimidazolium	2012-2013	2011-2012	2012-2013	7.448482007582425
1\-ethyl\-3\-methylimidazolium	2013-2014	2012-2013	2013-2014	-6.945348657974427
1\-hz	2008-2009	2007-2008	2008-2009	5.564064776353728
1\-hz	2009-2010	2008-2009	2009-2010	-5.614347748285545
1\-nitropyrene	2019-2020	2017-2018	2019-2020	14.624530954129774
1\-pp	2019-2020	2018-2019	2019-2020	9.214665814550582
1\-y	2012-2013	2011-2012	2012-2013	-5.559756121997697
1\-year	2004-2005	2003-2004	2004-2005	12.094061069627559
1\-year	2005-2006	2004-2005	2005-2006	-10.99293036813473
1\.072	2013-2014	2012-2013	2013-2014	7.217175877144717
1\.072	2014-2015	2013-2014	2014-2015	-7.118236156826079
1\.085	2013-2014	2012-2013	2013-2014	-7.145234586263894
1\.127	2012-2013	2011-2012	2012-2013	7.742983390272838
1\.127	2013-2014	2012-2013	2013-2014	-7.063430613235126
1\.14	2001-2002	2000-2001	2001-2002	10.6446366903898
1\.14	2002-2003	2001-2002	2003-2004	-10.427161976461816
1\.163	2014-2015	2013-2014	2014-2015	7.326195778799432
1\.163	2015-2016	2014-2015	2015-2016	-7.407378786408394
1\.18	2001-2002	2000-2001	2001-2002	6.6115679183303
1\.18	2002-2003	2001-2002	2002-2003	-6.723789873796997
1\.18	2003-2004	2002-2003	2003-2004	5.977682332862635
